identificador_info|identificador_secao|identificador_coisa|ordem|texto|informacao_complementar|link
|secao_onde_compra|whey|1|Dona Novinha||
|secao_onde_compra|box-cama-travesseiros|1|Cama e colchão: Casas Bahia||https://www.casasbahia.com.br/cama-box-casal-umaflex-orleans-com-molas-ensacadas-58x138x188cm-marrom-branco/p/1001309113
|secao_onde_compra|box-cama-travesseiros||Magazine Luiza: não foi aqui que comprei, mas este é o modelo do colchão||https://www.casasbahia.com.br/colchao-casal-umaflex-orleans-com-molas-ensacadas-20x138x188cm-marrom-branco/p/55045661
|secao_onde_compra|box-cama-travesseiros||Este é um modelo similar, que também é D26||https://m.magazineluiza.com.br/colchao-casal-molas-ensacadas-individualmente-michelle-umaflex-138x188-colchao-de-cama-casal/p/dah3j7h77h/co/cxqq/
|secao_onde_compra|box-cama-travesseiros||Este também é similar, mas de densidade inferior D23||https://www.mercadolivre.com.br/colcho-viuva-bronze-188x128x14-d23-umaflex-shark-moveis/p/MLB69626485?pdp_filters=item_id:MLB4678870055#is_advertising=true&searchVariation=MLB69626485&backend_model=search-backend&be_origin=backend&position=13&search_layout=grid&type=pad&tracking_id=ed4fbd12-8232-4232-afe7-fc3bcfc2a27d&ad_domain=VQCATCORE_LST&ad_position=13&ad_click_id=YWEzMzE4MjUtYjVhZC00Zjc3LThlMGYtOGQwYjllYjQ5NTE4
|secao_onde_compra|box-cama-travesseiros||Magazine Luiza: não foi aqui que comprei, mas este é o modelo da base da cama box||https://www.magazineluiza.com.br/base-cama-box-casal-umaflex-138x38x188cm-duomo/p/232879200/co/btcl/?&seller_id=magazineluiza&utm_source=google&utm_medium=cpc&utm_term=84379&utm_campaign=google_eco_per_ven_pla_mo_apo_1p_moveis-0326&utm_content=&partner_id=84379&gclsrc=aw.ds&gad_source=1&gad_campaignid=23595352926&gclid=CjwKCAjwt7XQBhBkEiwAtStpp9ipCzWx1XUhSsQapa8UxnitYEIhqP5HnU3kRfKTUFaGeSUPolSs0BoCEJIQAvD_BwE
|||2|Kit colcha azul e cinza: Amazon||https://www.amazon.com.br/Premium-Colcha-Matelado-Algod%C3%A3o-Geom%C3%A9trico/dp/B09V3983VY
|||3|Kit colcha branca: Bemol||https://www.bemol.com.br/kit-colcha-queen-3-pecas-dohler-londres-branco/p
|secao_onde_compra|fragmentadora|1|Kabum: Não é onde comprei mas é exatamente o mesmo modelo||https://www.kabum.com.br/produto/382642/fragmentadora-de-papel-cd220p-6-folhas-13-litros-110v
|secao_onde_compra|roupeiro|1|Mercado Livre||https://www.mercadolivre.com.br/guarda-roupa-6-portas-flash-ii-nogal-vanilla-touch-62920/up/MLBU1359756581
